ID,Crosswalk location ,reading 1,reading 2,reading 3,reading 4,Direction ,GPS
1A,Olin-East Dr,34,,,,West,"42ø17'29.8"" N 71ø15'49"" W"
1B,Olin-East Dr,0.4,,,,East,"42ø17'29.8"" N 71ø15'49"" W"
2A,Lilja Elementary School-Beacon,0.9,0.87,,,West,"42ø17'40.5""N 71ø19'39.2""W"
2B,Lilja Elementary School-Beacon,1.46,1.2,,,East,"42ø17'40.5""N 71ø19'39.2""W"
3A,Oak-Jennings Pond,3.5,4.2,,,North,"42ø18'00.3""N 71ø19'50.9""W"
3B,Oak-Jennings Pond,0.16,0.16,,,South,"42ø18'00.3""N 71ø19'50.9""W"
4A,royal smoke,3.2,2.2,,,West,"42ø18'13.1""N 71ø19'54.6""W"
4B,,4.92,5.1,,,East,"42ø18'13.1""N 71ø19'54.6""W"
5A,near school again ,1.1,1.41,,,South,"42ø17'40.2""N 71ø19'43.3""W"
5B,,1.85,1.57,,,North,"42ø17'40.2""N 71ø19'43.3""W"
6A,near school again long way,1.2,0.9,,,West,"42ø17'39.8""N 71ø19'42.8""W"
6B,,2.44,2.56,,,East,"42ø17'39.8""N 71ø19'42.8""W"
7A,next to school ,3.18,3.91,,,West,"42ø17'41.2""N 71ø19'37.7""W"
7B,,9.1,8.21,,,East,"42ø17'41.2""N 71ø19'37.7""W"
8A,Wellesley ,0.73,1.06,,,North-West,"42ø17'41.7""N 71ø18'35.0""W"
8B,,0.97,0.33,,,South-East,"42ø17'41.7""N 71ø18'35.0""W"
9A,Wellesley center milk money,8.93,9.93,10.39,12.89,West,"42ø17'45.4""N 71ø17'52.8""W"
9B,,14.95,17.5,18.22,,East,"42ø17'45.4""N 71ø17'52.8""W"
10A,Wellesley center Washington St,2.27,2.15,,,North-East,"42ø17'46.4""N 71ø17'35.0""W"
10B,,6.42,7.3,,,South-West,"42ø17'46.4""N 71ø17'35.0""W"
